BranchName,ApkVersion,GitName,ResourceConfigs,SignMode,ApkAreaVersion,MileStone,TranslationLabel,ReleaseDate,VersionCode,VersionName,BranchInfo,UploadAota,OfficialRelease,GoldenRelease
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagSoundRecorder,platform,2018-04-10 17:02:14,I180410006,v1.0.1.0201.1_0410         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagLauncher,shared,2018-04-11 10:15:52,I180411002,v1.0.1.0101.1_0411         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagInCallUI,platform,2018-04-12 13:44:04,I180412002,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagDeskClock,platform,2018-04-12 13:59:27,I180412001,v1.0.1.0201.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagCalculator,releasekey,2018-04-12 14:08:23,I180412001,v1.0.1.0201.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagTelecomm,platform,2018-04-12 14:32:09,I180412002,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagReject,platform,2018-04-12 14:38:00,I180412001,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagTelephony,platform,2018-04-12 15:03:55,I180412001,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagLockScreen,platform,2018-04-12 16:09:16,I180412001,v1.0.1.0201.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagSystemUI,platform,2018-04-12 16:32:59,I180412005,v1.0.1.0201.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagFileManager,platform,2018-04-12 16:42:41,I180412001,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagMms,platform,2018-04-12 17:03:48,I180412001,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagMmsService,platform,2018-04-12 17:23:00,I180412001,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagCellBroadcastReceiver,platform,2018-04-12 17:30:08,I180412001,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagTelephonyProvider,platform,2018-04-12 18:13:45,I180412001,v1.0.1.0201.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagContactsProvider,shared,2018-04-12 18:25:21,I180412001,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagDialer,shared,2018-04-12 19:45:22,I180412002,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagCalendarProvider,releasekey,2018-04-12 20:14:33,I180412002,v1.0.1.0201.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagSettings,platform,2018-04-12 20:24:59,I180412002,v1.0.1.0201.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagCalculator,releasekey,2018-04-13 09:52:55,I180413001,v1.0.1.0201.2_0413         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagContacts,shared,2018-04-13 09:56:18,I180412002,v1.0.1.0101.1_0412         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagCalendar,platform,2018-04-13 10:14:34,I180413002,v1.0.1.0201.1_0413         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagPackageInstaller,platform,2018-04-13 16:27:47,I180413002,v1.0.1.0201.2_0413         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagGallery,releasekey,2018-04-13 20:41:49,I180413003,v1.0.1.0201.1_0413         
acuteag_dev_1.0.1,v1.0.1.0101.2,AcuteagFileManager,platform,2018-04-13 20:43:58,I180412002,v1.0.1.0101.2_0412         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagPackageInstaller,platform,2018-04-14 13:56:21,I180414002,v1.0.1.0201.3_0414         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagSettings,platform,2018-04-14 16:40:27,I180414001,v1.0.1.0201.2_0414         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagGallery,releasekey,2018-04-16 12:19:25,I180416001,v1.0.1.0201.2_0416         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagSystemUI,platform,2018-04-16 18:22:57,I180416001,v1.0.1.0201.2_0416         
acuteag_dev_1.0.1,v1.0.1.0101.2,AcuteagLauncher,shared,2018-04-16 18:34:31,I180416001,v1.0.1.0101.2_0416         
